dataset_id	dataset_class	organism	assay_type	tissue	treatment_type	n_samples_used	n_genes_selected	coherence_rwithin	coherence_spreadwithin	Cout	outlier_fraction	outlier_severity	separation_ratio	silhouette_mean	between_centroid_distance	within_group_spread	Cctx	context_replicate_score	context_balance_score	context_batch_score	context_metadata_score	min_group_n	n_groups	batch_cramers_v	coherence_corr_score	coherence_spread_score	Ccoh	separation_ratio_score	separation_silhouette_score	Csep	primary_failure_mode	prototype_bio_label	truth_table_label	prototype_label_match
GSE167521	anchor	mouse	bulk_rnaseq	skin	LNP	8	2000	0.6562414774952932	3.120333505209305	0.17884913019500726	0.125	2.942425353220229	20.048194061340116	0.7934153898577303	62.55705164853778	3.120333505209305	0.825	0.5	1	1	1	4	2		1	0.9942130194824873	0.9971065097412437	0.9709434300814989	1	0.9854717150407495	Outlier	Strong biology	Weak biology	overcalled_strong
GSE264344	anchor	mouse	bulk_rnaseq	mixed	adenovirus	195	2000	-0.11387633176010135	38.926045435539706	1	0	0	0.05562121522930556	-0.03717332542351681	2.1651139511958815	38.926045435539706	0.9658487801582893	1	0.8292439007914473	1	1	15	3		0	0	0	0	0.029154047521039648	0.014577023760519824	Coherence	Technical / outlier issue	Weak biology	overcalled_outlier
GSE39129	anchor	mouse	bulk_rnaseq	liver	lentivirus	6	2000	0.14538164650955546	22.44456313029532	1	0	0	2.3230695093741045	0.4566336313828487	52.140280259211266	22.44456313029532	0.7375	0.25	1	1	1	3	2		0.37793928708287694	0.35308677967450014	0.36551303337868857	0.25431768657386866	0.9380147066062156	0.5961661965900421	Coherence	Heterogeneous biology	Strong biology	mismatch:Heterogeneous biology_vs_Strong biology
GSE279744	calibration	mouse	bulk_rnaseq	lymph node	LNP	9	2000	0.12512765945781912	21.636077841143514	1	0	0	1.9886592277937791	0.22290443729428822	43.02678585205456	21.636077841143514	0.7375	0.25	0.9999999999999998	1	1	3	3		0.33199619259995083	0.379910158584316	0.3559531755921334	0.2131414820334221	0.5078318862575053	0.3604866841454637	Coherence	Heterogeneous biology	Heterogeneous biology	match
GSE139529	external	mouse	bulk_rnaseq	blood	vaccine	65	2000	0.1872560995675328	32.438190268648484	0.6791272405044892	0.046153846153846156	0.5892781654069701	1.0742498430012517	0.00841814218945178	34.84672080334036	32.438190268648484	0.9123963476839969	0.75	0.9994817384199846	1	1	5	11		0.47292512608579956	0.021524967712906896	0.24722504689935323	0.0713536350161768	0.11306597045417753	0.09220980273517716	Coherence	Technical / outlier issue	Heterogeneous biology	overcalled_outlier
GSE166655	external	mouse	bulk_rnaseq	Tibialis anterior	LNP	9	2000	0.051580254334263186	7.622175835987467	0.32159892339896884	0.3333333333333333	0.9355668453125694	8.939544335232075	0.24622573510000506	68.13877881674456	7.622175835987467	0.7375	0.25	0.9999999999999998	1	1	3	3		0.1651650707109943	0.8448539349685359	0.5050095028397651	0.6796642887215125	0.5507551577956519	0.6152097232585823	Outlier	Technical / outlier issue	Weak biology	overcalled_outlier
GSE178313	external	mouse	bulk_rnaseq	Liver	unknown	8	2000	-0.010938933222003802	27.502696093894308	1	0	0	0.8229081969791303	-0.0028890733409152464	22.632194054691535	27.502696093894308	0.825	0.5	1	1	1	4	2		0.023349785969459313	0.18527146023784682	0.10431062310365306	0.021208614801443846	0.09225483521661289	0.056731725009028365	Coherence	Technical / outlier issue	Technical / outlier issue	match
GSE262515	external	mouse	bulk_rnaseq	mixed	LNP	21	2000	0.393325122187963	1.3760757691696135	0.6723022421799049	0.14285714285714285	0.22266597742012229	43.49027490134118	-0.13052310104336798	59.845913486261004	1.3760757691696135	0.7326007518012216	0.25	0.9755037590061084	1	1	3	6		0.9403614166329998	1	0.9701807083164999	1	0	0.5	Separation	Weak biology	Weak biology	match
GSE279372	external	mouse	bulk_rnaseq	draining lymph nodes	LNP	28	2000	0.3479613249404949	17.445731184049883	0.5946988805836328	0.07142857142857142	0.7536858834706655	2.486461632366616	-0.0444012731797679	43.378141237721856	17.445731184049883	0.825	0.5	1	1	1	4	7		0.8374605301200869	0.5189346500065686	0.6781975900633277	0.272951657824794	0.01585087859837999	0.144401268211587	Separation	Weak biology	Heterogeneous biology	weak_vs_heterogeneous
GSE279743	external	mouse	bulk_rnaseq	Lymph Node	LNP	9	2000	0.19203983927341908	16.93894875123102	1	0	0	2.8860061007205355	0.23633100382033279	48.88590943584522	16.93894875123102	0.7375	0.25	0.9999999999999998	1	1	3	3		0.4837763132978708	0.5357483353051593	0.509762324301515	0.3150714390305307	0.5325437254365895	0.4238075822335601	Separation	Heterogeneous biology	Heterogeneous biology	match
